"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"91",234,"Gobionotothen_gibberifrons","Perciformes ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"92",235,"Chaenocephalus_aceratus","Perciformes ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"93",236,"Champsocephalus_gunnari","Perciformes ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"94",237,"Chionodraco_rastrospinosus","Perciformes ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"95",238,"Lepidonotothen_kempi","Perciformes ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"96",239,"Nototheniops_larseni","Perciformes ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"97",240,"Pseudochaenichthys_georgianus","Perciformes ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"98",245,"Champsocephalus_aceratus","Perciformes","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"99",257,"Micromesistius_australis","Gadiformes ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"100",260,"Gobionotothen_gibberifrons","Perciformes ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"101",261,"Chaenocephalus_aceratus","Perciformes ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"102",262,"Champsocephalus_gunnari","Perciformes ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"103",263,"Chionodraco_rastrospinosus","Perciformes ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"104",264,"Lepidonotothen_kempi","Perciformes ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"105",265,"Nototheniops_larseni","Perciformes ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"106",266,"Pseudochaenichthys_georgianus","Perciformes ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"107",271,"Champsocephalus_aceratus","Perciformes","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"108",283,"Micromesistius_australis","Gadiformes ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"109",286,"Gobionotothen_gibberifrons","Perciformes ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"110",287,"Chaenocephalus_aceratus","Perciformes ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"111",288,"Champsocephalus_gunnari","Perciformes ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"112",289,"Chionodraco_rastrospinosus","Perciformes ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"113",290,"Lepidonotothen_kempi","Perciformes ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"114",291,"Nototheniops_larseni","Perciformes ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"115",292,"Pseudochaenichthys_georgianus","Perciformes ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"116",297,"Champsocephalus_aceratus","Perciformes","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"117",309,"Micromesistius_australis","Gadiformes ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"118",312,"Gobionotothen_gibberifrons","Perciformes ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"119",313,"Chaenocephalus_aceratus","Perciformes ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"120",314,"Champsocephalus_gunnari","Perciformes ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"121",315,"Chionodraco_rastrospinosus","Perciformes ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"122",316,"Lepidonotothen_kempi","Perciformes ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"123",317,"Nototheniops_larseni","Perciformes ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"124",318,"Pseudochaenichthys_georgianus","Perciformes ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"125",323,"Champsocephalus_aceratus","Perciformes","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"126",335,"Micromesistius_australis","Gadiformes ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"127",338,"Gobionotothen_gibberifrons","Perciformes ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"128",339,"Chaenocephalus_aceratus","Perciformes ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"129",340,"Champsocephalus_gunnari","Perciformes ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"130",341,"Chionodraco_rastrospinosus","Perciformes ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"131",342,"Lepidonotothen_kempi","Perciformes ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"132",343,"Nototheniops_larseni","Perciformes ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"133",344,"Pseudochaenichthys_georgianus","Perciformes ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"134",349,"Champsocephalus_aceratus","Perciformes","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"https://doi.org/10.3354/meps12296",NA
"135",361,"Micromesistius_australis","Gadiformes ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"https://doi.org/10.3354/meps12296",NA
"136",364,"Gobionotothen_gibberifrons","Perciformes ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"https://doi.org/10.3354/meps12296",NA
"137",365,"Chaenocephalus_aceratus","Perciformes ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"https://doi.org/10.3354/meps12296",NA
"138",366,"Champsocephalus_gunnari","Perciformes ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"https://doi.org/10.3354/meps12296",NA
"139",367,"Chionodraco_rastrospinosus","Perciformes ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"https://doi.org/10.3354/meps12296",NA
"140",368,"Lepidonotothen_kempi","Perciformes ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"https://doi.org/10.3354/meps12296",NA
"141",369,"Nototheniops_larseni","Perciformes ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"https://doi.org/10.3354/meps12296",NA
"142",370,"Pseudochaenichthys_georgianus","Perciformes ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces",13,"https://doi.org/10.3354/meps12296",NA
"143",375,"Champsocephalus_aceratus","Perciformes","Ziphius_cavirostris","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"144",387,"Micromesistius_australis","Gadiformes ","Ziphius_cavirostris","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"145",390,"Gobionotothen_gibberifrons","Perciformes ","Ziphius_cavirostris","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
