"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"79",279,"Kondakovia_longimana","Cephalopoda ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"80",280,"Batoteuthis_skolops","Cephalopoda ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"81",281,"Galiteuthis_glacialis","Cephalopoda ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"82",293,"Loligo_gahi","Cephalopoda ","Mesoplodon_hectori","Peces","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"83",294,"Ilex_argentinus","Cephalopoda ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"84",298,"Galiteuthis_glacialis","Cephalopoda ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"85",301,"Taonius*","Cephalopoda ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"86",302,"Histioteuthis_atlantica","Cephalopoda ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"87",303,"Histioteuthis_macrohista","Cephalopoda ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"88",304,"Gonatus_antarcticus","Cephalopoda","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"89",305,"Kondakovia_longimana","Cephalopoda ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"90",306,"Batoteuthis_skolops","Cephalopoda ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
