resource,consumer
Nacella magellanica,Cosmasterias lurida
Nacella mytilina,Anasterias antarctica
Nacella mytilina,Asterina fimbriata
Nacella mytilina,Cosmasterias lurida
Necromass,Anasterias antarctica
Necromass,Exosphaeroma gigas
Necromass,Halicarcinus planatus 
Necromass,Pagurus comptus
Necromass,Pareuthria fuscata
Necromass,Polychaeta
Necromass,Spirorbinae
Necromass,Munida gregaria
Necromass,Nemertea
Necromass,Dissostichus eleginoides
Necromass,Glyceridae
Necromass,Myxine glutinosa
Necromass,Cottoperca gobio
Necromass,Patagonotothen ramsayi
Necromass,Nereididae
Necromass,Polynoidae
Necromass,Cirratulidae
Necromass,Cosmasterias lurida
Necromass,Glabraster antarctica
Necromass,Lithodes santolla
Necromass,Schroederichthys bivius
Notochthamalus scabrosus ,Anasterias antarctica
Notochthamalus scabrosus ,Nacella magellanica
Notochthamalus scabrosus ,Trophon geversianus
Notochthamalus scabrosus ,Eleginops maclovinus
Pagurus comptus,Anasterias antarctica
Pagurus comptus,Eurypodius latreillii
Pagurus comptus,Bathyraja brachyurops
Pagurus comptus,Bathyraja griseocauda
Pagurus comptus,Paralomis granulosa
Pagurus comptus,Patagonotothen ramsayi
Pagurus comptus,Asterina fimbriata
Pagurus comptus,Cosmasterias lurida
Pagurus comptus,Lithodes santolla
Pareuthria fuscata,Anasterias antarctica
Pareuthria fuscata,Pseudechinus magellanicus
Pareuthria fuscata,Asterina fimbriata
Pareuthria fuscata,Cosmasterias lurida
Perumytilus purpuratus,Anasterias antarctica
Perumytilus purpuratus,Pseudechinus magellanicus
Perumytilus purpuratus,Trophon geversianus
Perumytilus purpuratus,Harpagifer bispinis
Perumytilus purpuratus,Nemertea
Plaxiphora sp.,Anasterias antarctica
Plaxiphora sp.,Asterina fimbriata
Plaxiphora sp.,Cosmasterias lurida
Polychaeta,Anasterias antarctica
Polychaeta,Eurypodius latreillii
Polychaeta,Halicarcinus planatus 
Polychaeta,Pagurus comptus
Polychaeta,Pseudechinus magellanicus
Polychaeta,Harpagifer bispinis
Polychaeta,Munida gregaria
Polychaeta,Patagonotothen cornucola
Polychaeta,Cephalopoda
Polychaeta,Dissostichus eleginoides
Polychaeta,Myxine glutinosa
Polychaeta,Ophiuroidea
Polychaeta,Peltarion spinosulum
Polychaeta,Bathyraja brachyurops
Polychaeta,Cottoperca gobio
Polychaeta,Genypterus blacodes
Polychaeta,Merluccius hubbsi
Polychaeta,Patagonotothen sp.
Polychaeta,Priapulida
Polychaeta,Bathyraja griseocauda
Polychaeta,Patagonotothen longipes
Polychaeta,Patagonotothen sima
Polychaeta,Patagonotothen tessellata
Polychaeta,Arbacia dufresnii
Polychaeta,Paralomis granulosa
Polychaeta,Bathyraja albomaculata
Polychaeta,Paranotothenia magellanica
Polychaeta,Patagonotothen brevicauda brevicauda
Polychaeta,Patagonotothen ramsayi
Polychaeta,Salilota australis
Polychaeta,Polynoidae
Polychaeta,Stromateus brasiliensis
Polychaeta,Zygochlamys patagonica
Polychaeta,Raja (Dipturus) chilensis
Polychaeta,Austrolycus depressiceps
Polychaeta,Eleginops maclovinus
Polychaeta,Lithodes santolla
Polychaeta,Odontesthes nigricans
Polychaeta,Schroederichthys bivius
Polyplacophora,Gastropoda
Polyplacophora,Anasterias antarctica
Polyplacophora,Trophon geversianus
Polyplacophora,Xymenopsis muriciformis 
Polyplacophora,Nemertea
Polyplacophora,Patagonotothen tessellata
Polyplacophora,Austrolycus depressiceps
Polyplacophora,Cosmasterias lurida
Polyplacophora,Eleginops maclovinus
Polyplacophora,Lithodes santolla
Pseudechinus magellanicus,Anasterias antarctica
Pseudechinus magellanicus,Eurypodius latreillii
Pseudechinus magellanicus,Pagurus comptus
Pseudechinus magellanicus,Peltarion spinosulum
Pseudechinus magellanicus,Paralomis granulosa
Pseudechinus magellanicus,Raja (Dipturus) chilensis
Pseudechinus magellanicus,Asterina fimbriata
Pseudechinus magellanicus,Cosmasterias lurida
Pseudechinus magellanicus,Lithodes santolla
Siphonaria lessonii,Anasterias antarctica
Siphonaria lessonii,Trophon geversianus
Siphonaria lessonii,Xymenopsis muriciformis 
Siphonaria lessonii,Nemertea
Siphonaria lessonii,Patagonotothen tessellata
Siphonaria lessonii,Austrolycus depressiceps
Siphonaria lessonii,Eleginops maclovinus
Spirorbinae,Anasterias antarctica
Spirorbinae,Pseudechinus magellanicus
Spirorbinae,Arbacia dufresnii
Spirorbinae,Asterina fimbriata
Spirorbinae,Cosmasterias lurida
Tonicia sp.,Anasterias antarctica
Tonicia sp.,Paralomis granulosa
Tonicia sp.,Lithodes santolla
Trophon geversianus,Anasterias antarctica
