ID,Presa,Grupo funcional presa,Expertise presa,Depredador,Grupo funcional depredador,Expertise depredador,Estrategia,Fuente,Referencia,Enlace,Observaciones
65,Zeiformes_sp,Zeiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
66,Myctophidae_spp,Myctophiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
67,Bathyraja_macloviana,Rajiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
68,Nototheniidae_spp,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,Infered from Eleginops_maclovinus
69,Zoarcidae,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
70,Patagonotothen_sp,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
71,Sprattus_fuegensis,Clupeiformes,Sardinas,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
72,Doryteuthis_gahi,Cephalopoda,Cefalopodos,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
73,Illex_argentinus,Cephalopoda,Cefalopodos,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
74,Cephalopoda_otros,Cephalopoda,Cefalopodos,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
75,Cephalopoda_otros,Cephalopoda,Cefalopodos,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
76,Enteroctopus_megalocyathus,Cephalopoda,Cefalopodos,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
77,Micromesistius_australis,Perciformes,Peces,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
78,Coelorinchus_fasciatus,Gadiformes,Peces,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
79,Nototheniidae,Perciformes,Peces,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
80,Nototheniidae_spp,Perciformes,Peces,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
81,Iluocoetes_fimbriatus,Perciformes,Peces,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
82,Doryteuthis_gahi,Cephalopoda,Cefalopodos,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
83,Illex_argentinus,Cephalopoda,Cefalopodos,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
84,Cephalopoda_otros,Cephalopoda,Cefalopodos,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
85,Cephalopoda_otros,Cephalopoda,Cefalopodos,Globicephala_melas,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,
86,Ancistrocheirus,Cephalopoda,Cefalopodos,Thalassarche_chrysostoma,Procellariiformes,Aves marinas,,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,
87,Mirounga_leonina,Phocidae,Mamiferos marinos,Orcinus_orca,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,
88,Myctophidae,Myctophiformes,Peces,Lagenorhynchus_cruciger,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,
89,Cephalopoda_otros,Cephalopoda,Cefalopodos,Lagenorhynchus_cruciger,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,Infered from Onychoteuthidae
90,Cephalopoda_otros,Cephalopoda,Cefalopodos,Lagenorhynchus_cruciger,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,Infered from Enoloteuthidae
91,Amphipoda,Amphipoda,Crustaceos,Eudyptes_chrysocome_chrysocome,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
92,Myctophidae_spp,Myctophiformes,Peces,Lagenorhynchus_cruciger,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,
93,Onychoteuthidae,Cephalopoda,Cefalopodos,Lagenorhynchus_cruciger,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,
94,Enoloteuthidae,Cephalopoda,Cefalopodos,Lagenorhynchus_cruciger,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,
95,Amphipoda_spp,Amphipoda,Crustaceos,Eudyptes_chrysocome_chrysocome,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
96,Larva_peces,Zooplancton,Ictioplancton,Eudyptes_chrysocome_chrysocome,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
97,Euphausiidae,Malacostraca,Crustaceos peracaridos,Eudyptes_chrysocome_chrysocome,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
98,Ancistrocheirus,Cephalopoda,Cefalopodos,Thalassarche_melanophris,Procellariiformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
99,Zooplancton,Zooplancton,Zooplancton,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
100,Cephalopoda_otros,Cephalopoda,Cefalopodos,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
101,Amphipoda,Amphipoda,Crustaceos,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
102,Euphausiidae,Malacostraca,Crustaceos,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
103,Amphipoda,Amphipoda,Crustaceos,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
104,Amphipoda_spp,Amphipoda,Crustaceos,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
105,Euphausiidae,Malacostraca,Crustaceos,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
106,Amphipoda_spp,Amphipoda,Crustaceos,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
107,Sprattus_fuegensis,Clupeiformes,Sardinas,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
108,Grimothea_gregaria,Malacostraca,Crustaceos,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
109,Doryteuthis_gahi,Cephalopoda,Cefalopodos,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
110,Clupeiformes_otros,Clupeiformes,Sardinas,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
111,Doryteuthis_gahi,Cephalopoda,Cefalopodos,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
112,Illex_argentinus,Cephalopoda,Cefalopodos,Ziphiidae,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
