ID,Prey,Prey funtional group,Prey expertise,Predator,Predator funtional group,Predator expertise,Strategy,Source,Reference,Link,Observations
509,Sprattus_fuegensis,Clupeiformes,Sardinas,Thalassarche_melanophris,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
510,Sprattus_fuegensis,Clupeiformes,Sardinas,Balaenoptera_acutorostrata,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
511,CtenoCalanoida_vanus,Copepoda,Zooplankton,Balaenoptera_acutorostrata,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
512,Drepanopus_forcipatus,Copepoda,Zooplankton,Balaenoptera_acutorostrata,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
513,Neocalanoida_tonsus,Copepoda,Zooplankton,Balaenoptera_acutorostrata,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
514,Sprattus_fuegensis,Clupeiformes,Sardinas,Balaenoptera_bonaerensis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
515,CtenoCalanoida_vanus,Copepoda,Zooplankton,Balaenoptera_bonaerensis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
516,Drepanopus_forcipatus,Copepoda,Zooplankton,Balaenoptera_bonaerensis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
517,Neocalanoida_tonsus,Copepoda,Zooplankton,Balaenoptera_bonaerensis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
518,Sprattus_fuegensis,Clupeiformes,Sardinas,Balaenoptera_borealis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
519,CtenoCalanoida_vanus,Copepoda,Zooplankton,Balaenoptera_borealis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
