ID,Prey,Prey funtional group,Prey expertise,Predator,Predator funtional group,Predator expertise,Strategy,Source,Reference,Link,Observations
475,Doryteuthis_gahi,Cephalopoda,Cephalopods,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
476,Ophidiidae,Ophidiiformes,Fish,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
477,Themisto_gaudichaudii,Malacostraca,Crustaceans,Patagonotothen_guntheri,Perciformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,
478,Cirratulidae,Polychaeta,Zooplankton,Patagonotothen_guntheri,Perciformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,
479,Tinerfe_cyanea,Ctenophora,Zooplankton,Patagonotothen_guntheri,Perciformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,
480,Polychaeta,Polychaeta,Zooplankton,Pelagobia_longicirrata,Polychaeta,Zooplankton,Hunter,Heterotroph,Marina_etal_enprep.,NA,Infered from Pelagobia_longicirrata
481,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Pelagobia_longicirrata,Polychaeta,Zooplankton,Hunter,Heterotroph,Marina_etal_enprep.,NA,
482,Pelagobia_longicirrata,Polychaeta,Zooplankton,RhinCalanoida_gigas,Copepoda,Zooplankton,Hunter,Heterotroph,Marina_etal_enprep.,NA,
483,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,CtenoCalanoida_vanus,Copepoda,Zooplankton,Hunter,Heterotroph,Marina_etal_enprep.,NA,
484,Phytoplankton,Phytoplankton,Phytoplankton,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Hunter,Primary_producer,Marina_etal_enprep.,NA,
485,Pelagobia_longicirrata,Polychaeta,Zooplankton,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Hunter,Heterotroph,Marina_etal_enprep.,NA,
486,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Hunter,Heterotroph,Marina_etal_enprep.,NA,
487,Doryteuthis_gahi,Cephalopoda,Cephalopods,Salilota_australis,Gadiformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,
488,Doryteuthis_gahi,Cephalopoda,Cephalopods,Spheniscus_magellanicus,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
489,Pagurus_comptus,Decapoda,Crustaceans,Thalassarche_chrysostoma,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
490,Patagonotothen_guntheri,Perciformes,Fish,Thalassarche_chrysostoma,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
491,Macrourus_holotrachys,Gadiformes,Fish,Thalassarche_melanophris,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
492,Enteroctopus_megalocyathus,Cephalopoda,Cephalopods,Ophidiidae,Ophidiiformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,
493,Enteroctopus_megalocyathus,Cephalopoda,Cephalopods,Squalus_acanthias,Squaliformes, Chondrichthyans,Hunter,Heterotroph,Marina_etal_enprep.,NA,
494,Eukrohnia_hamata,Chaetognatha,Zooplankton,Sprattus_fuegensis,Clupeiformes,Sardinas,Hunter,Heterotroph,Marina_etal_enprep.,NA,
495,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Sprattus_fuegensis,Clupeiformes,Sardinas,Hunter,Heterotroph,Marina_etal_enprep.,NA,
496,Pseudechinus_magellanicus,Echinoidea,Erizos,Cosmasterias_lurida,Asteroidea,Asteroideos,Hunter,Heterotroph,Marina_etal_enprep.,NA,
497,CtenoCalanoida_vanus,Copepoda,Zooplankton,Sprattus_fuegensis,Clupeiformes,Sardinas,Hunter,Heterotroph,Marina_etal_enprep.,NA,
498,Drepanopus_forcipatus,Copepoda,Zooplankton,Sprattus_fuegensis,Clupeiformes,Sardinas,Hunter,Heterotroph,Marina_etal_enprep.,NA,
499,Neocalanoida_tonsus,Copepoda,Zooplankton,Sprattus_fuegensis,Clupeiformes,Sardinas,Hunter,Heterotroph,Marina_etal_enprep.,NA,
500,Sprattus_fuegensis,Clupeiformes,Sardinas,Ardenna_gravis,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
501,Sprattus_fuegensis,Clupeiformes,Sardinas,Puffinus_griseus,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
502,Sprattus_fuegensis,Clupeiformes,Sardinas,Daption_capense,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
503,Enteroctopus_megalocyathus,Cephalopoda,Cephalopods,Eudyptes_chrysocome,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
504,Themisto_gaudichaudii,Malacostraca,Crustaceans,Fulmarus_glacialoides,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
505,Sprattus_fuegensis,Clupeiformes,Sardinas,Fulmarus_glacialoides,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
506,Doryteuthis_gahi,Cephalopoda,Cephalopods,Macronectes_halli,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
507,Enteroctopus_megalocyathus,Cephalopoda,Cephalopods,Spheniscus_magellanicus,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
508,Grimothea_gregaria,Malacostraca,Crustaceans,Spheniscus_magellanicus,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
509,Doryteuthis_gahi,Cephalopoda,Cephalopods,Thalassarche_melanophris,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
510,Sprattus_fuegensis,Clupeiformes,Sardinas,Thalassarche_melanophris,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
511,Sprattus_fuegensis,Clupeiformes,Sardinas,Balaenoptera_acutorostrata,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
512,CtenoCalanoida_vanus,Copepoda,Zooplankton,Balaenoptera_acutorostrata,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
513,Drepanopus_forcipatus,Copepoda,Zooplankton,Balaenoptera_acutorostrata,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
514,Neocalanoida_tonsus,Copepoda,Zooplankton,Balaenoptera_acutorostrata,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
515,Sprattus_fuegensis,Clupeiformes,Sardinas,Balaenoptera_bonaerensis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
516,CtenoCalanoida_vanus,Copepoda,Zooplankton,Balaenoptera_bonaerensis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
517,Drepanopus_forcipatus,Copepoda,Zooplankton,Balaenoptera_bonaerensis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
518,Neocalanoida_tonsus,Copepoda,Zooplankton,Balaenoptera_bonaerensis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
519,Sprattus_fuegensis,Clupeiformes,Sardinas,Balaenoptera_borealis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
520,CtenoCalanoida_vanus,Copepoda,Zooplankton,Balaenoptera_borealis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
521,Drepanopus_forcipatus,Copepoda,Zooplankton,Balaenoptera_borealis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
