"resource","consumer"
"Benthalbella macropinna","Dimophyes arctica"
"Benthalbella macropinna","Diphyes antarctica"
"Benthalbella macropinna","Electrona antarctica"
"Benthalbella macropinna","Filippovia knipovitchi"
"Benthalbella macropinna","Galiteuthis glacialis"
"Benthalbella macropinna","Gigantocypris muelleri"
"Benthalbella macropinna","Gonatus antarcticus"
"Benthalbella macropinna","Gymnoscopelus bolini"
"Benthalbella macropinna","Gymnoscopelus braueri"
"Benthalbella macropinna","Kondakovia longimana"
"Benthalbella macropinna","Krefftichthys anderssoni"
"Benthalbella macropinna","Mastigoteuthis"
"Benthalbella macropinna","Megalocranchia"
"Benthalbella macropinna","Muggiaea bargmannae"
"Benthalbella macropinna","Pandea rubra"
"Benthalbella macropinna","Parandania boecki"
"Benthalbella macropinna","Pleuragramma antarcticum"
"Benthalbella macropinna","Pleurobrachia"
"Benthalbella macropinna","Psychroteuthis glacialis"
"Benthalbella macropinna","Slosarczykovia circumantarctica"
"Benthalbella macropinna","Stomias gracilis"
"Boroecia antipoda","Calycopsis borchgrevinki"
"Boroecia antipoda","Candacia"
"Boroecia antipoda","Corycaeus"
"Boroecia antipoda","Dimophyes arctica"
"Boroecia antipoda","Diphyes antarctica"
"Boroecia antipoda","Electrona antarctica"
"Boroecia antipoda","Eudoxoides spiralis"
"Boroecia antipoda","Eukrohnia hamata"
"Boroecia antipoda","Euphausia frigida"
"Boroecia antipoda","Euphausia triacantha"
"Boroecia antipoda","Gigantocypris muelleri"
"Boroecia antipoda","Gilia reticulata"
"Boroecia antipoda","Gymnoscopelus bolini"
"Boroecia antipoda","Gymnoscopelus braueri"
"Boroecia antipoda","Gymnoscopelus nicholsi"
"Boroecia antipoda","Hippopodiidae"
"Boroecia antipoda","Krefftichthys anderssoni"
"Boroecia antipoda","Melanostigma gelatinosum"
"Boroecia antipoda","Muggiaea bargmannae"
"Boroecia antipoda","Nannobrachium achirus"
"Boroecia antipoda","Neognathophausia gigas"
"Boroecia antipoda","Notolepis coatsi"
"Boroecia antipoda","Pandea rubra"
"Boroecia antipoda","Pelagobia longicirrata"
"Boroecia antipoda","Protomyctophum bolini"
"Boroecia antipoda","Protomyctophum choriodon"
"Boroecia antipoda","Pyrostephos vanhoeffeni"
"Boroecia antipoda","Sagitta gazellae"
"Boroecia antipoda","Stygiomedusa gigantea"
"Boroecia antipoda","Vanadis"
"Borostomias antarcticus","Alluroteuthis antarcticus"
"Borostomias antarcticus","Bathyteuthis abyssicola"
"Borostomias antarcticus","Batoteuthis skolops"
"Borostomias antarcticus","Benthalbella elongata"
"Borostomias antarcticus","Benthalbella macropinna"
"Borostomias antarcticus","Borostomias antarcticus"
"Borostomias antarcticus","Calycopsis borchgrevinki"
"Borostomias antarcticus","Cyclothone"
"Borostomias antarcticus","Desmonema glaciale"
"Borostomias antarcticus","Dimophyes arctica"
"Borostomias antarcticus","Diphyes antarctica"
"Borostomias antarcticus","Electrona antarctica"
"Borostomias antarcticus","Filippovia knipovitchi"
"Borostomias antarcticus","Galiteuthis glacialis"
"Borostomias antarcticus","Gigantocypris muelleri"
"Borostomias antarcticus","Gonatus antarcticus"
"Borostomias antarcticus","Gymnoscopelus bolini"
"Borostomias antarcticus","Gymnoscopelus braueri"
"Borostomias antarcticus","Kondakovia longimana"
"Borostomias antarcticus","Krefftichthys anderssoni"
