ID,Presa,Grupo funcional presa,Depredador,Grupo funcional depredador,Estrategia,Fuente,Expertise depredador,Expertise presa,Referencia,Enlace,Referente
85,Genypterus_blacodes,Ophidiiformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
86,Nototeniidae*,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
87,Micromesistius_australis,Gadiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
88,Patagonotothen_ramsayi,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
89,Pseudocythus_maculatus,Zeiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
90,Myctophidae* ,Myctophiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
91,Bathyraja_macloviana,Rajiformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
92,Eleginops_maclovinus,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
93,Zoarcidae*,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
94,Patagonotothen* ,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
95,Patagonotothen_sima,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
96,Patagonotothen_tessellata,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
97,Sprattus_fuegensis,Clupeiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Sardinas,8,https://doi.org/10.3354/meps08826,
98,Loligo_gahi,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
99,llex*,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
100,Ilex_argentinus,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
101,Moroteuthis_ingens,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
102,Semirrosia_tenera,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
104,Enteroctopus_megalocyathus,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
105,Campylognathus_vagans,Malacostraca,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
106,Munida_gregaria,Malacostraca,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
107,Euphausia_lucens,Malacostraca,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
108,Calanus_australis,Copepoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos,8,https://doi.org/10.3354/meps08826,
109,Themisto_gaudichaudii,Malacostraca,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
110,Odonthestes*,Atheriniformes,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
111,Sprattus_fuegensis,Clupeiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Sardinas,8,https://doi.org/10.3354/meps08826,
112,Merluccius_hubbsi,Gadiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
113,Merluccius_australis,Gadiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
114,Salilota_australis,Gadiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
115,Nototeniidae*,Perciformes,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
116,Micromesistius_australis,Gadiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
